1	54	55
51	52	208
54	55	211
53	209	211
3	57	206
55	210	211
52	207	208
53	54	211
58	207	208
0	51	59
4	58	207
58	59	208
209	212	213
57	206	209
51	59	208
2	55	210
207	212	213
53	209	213
2	56	210
3	56	206
52	207	213
206	209	211
56	206	210
57	209	212
4	207	212
206	210	211
4	57	212
52	53	213
63	64	222
51	52	217
1	54	61
62	63	217
54	61	221
64	215	222
65	66	214
9	66	224
9	10	224
0	51	62
53	54	216
54	216	221
65	214	218
214	218	226
66	214	224
64	65	218
53	216	225
52	217	222
6	60	219
60	219	221
60	61	221
51	62	217
64	215	218
214	219	226
219	221	226
63	217	222
10	220	224
215	218	225
6	219	220
216	218	225
214	219	220
216	218	226
52	222	223
216	221	226
53	223	225
215	223	225
214	220	224
215	222	223
6	10	220
52	53	223
69	229	233
8	69	229
4	68	227
0	59	62
59	62	228
66	229	233
65	66	229
63	64	232
64	230	231
68	227	230
4	58	227
64	230	232
58	227	228
64	65	231
58	59	228
5	68	235
5	67	235
68	230	235
227	230	232
11	69	233
63	232	234
65	229	231
67	231	235
229	231	238
67	231	238
227	228	234
230	231	235
62	228	237
8	229	238
227	232	234
9	11	236
228	234	237
11	233	236
63	234	237
66	233	236
8	67	238
9	66	236
62	63	237
2	55	70
55	70	240
6	7	60
1	55	240
1	61	240
7	60	239
7	70	239
60	61	239
70	239	240
61	239	240
70	241	242
70	241	243
7	70	243
8	67	72
5	67	241
67	72	243
70	242	244
67	241	243
3	71	242
7	72	243
3	56	242
71	241	242
5	71	241
2	56	244
56	242	244
2	70	244
4	57	68
5	68	245
57	245	246
57	68	245
71	245	246
3	71	246
5	71	245
3	57	246
6	7	250
8	69	247
8	72	247
69	247	249
247	248	249
10	248	249
7	72	250
10	11	249
11	69	249
72	247	250
247	248	250
6	248	250
6	10	248
9	10	11
14	251	265
254	256	258
17	82	252
75	76	255
77	253	263
76	77	262
74	256	258
14	80	265
254	256	260
76	255	259
15	81	252
81	252	254
14	79	251
13	77	263
18	82	257
252	254	260
79	251	253
78	79	253
81	254	261
82	252	260
74	75	258
73	74	256
80	81	261
78	253	263
18	83	257
12	73	264
251	259	265
12	83	264
77	253	262
73	256	264
82	257	260
75	255	258
255	258	261
255	259	265
251	253	259
256	257	264
256	257	260
15	17	252
13	78	263
83	257	264
253	259	262
254	258	261
255	261	265
76	259	262
80	261	265
78	79	267
14	79	266
58	59	267
4	58	266
13	78	268
59	78	268
0	59	268
58	79	267
59	78	267
4	14	266
58	79	266
0	13	268
18	22	83
22	83	84
21	84	269
83	84	269
12	21	269
12	83	269
62	63	273
65	74	271
65	66	271
65	74	278
0	62	275
85	86	272
270	271	277
74	75	278
270	272	277
74	271	277
21	85	276
62	77	273
85	272	276
64	65	278
86	270	272
9	66	270
62	77	275
63	76	274
64	75	274
9	86	270
73	74	277
63	76	273
12	21	276
73	272	276
0	13	275
73	272	277
64	75	278
66	270	271
12	73	276
13	77	275
63	64	274
75	76	274
76	77	273
5	16	279
14	80	280
68	279	280
80	81	279
5	68	279
80	279	280
4	68	280
81	279	281
16	279	281
4	14	280
16	87	281
15	87	282
87	281	282
81	281	282
15	81	282
8	67	284
283	284	285
20	89	283
20	90	283
8	88	284
19	88	286
19	89	286
67	284	285
16	90	285
90	283	285
5	67	287
283	284	286
88	284	286
89	283	286
67	285	287
16	285	287
5	16	287
16	87	90
87	90	288
20	90	288
15	17	288
15	87	288
17	20	288
11	69	91
19	88	289
91	289	290
19	23	289
8	69	290
88	289	290
69	91	290
8	88	290
23	91	289
22	23	292
18	82	292
23	291	292
82	291	292
17	20	293
19	89	291
89	291	293
17	82	293
82	291	293
18	22	292
19	23	291
20	89	293
294	296	297
85	86	296
11	91	295
91	294	296
85	296	297
23	294	298
9	86	295
22	23	298
91	295	296
9	11	295
21	84	297
22	84	298
21	85	297
86	295	296
294	297	298
84	297	298
23	91	294
301	305	306
300	305	315
24	102	311
98	302	303
24	92	311
92	93	306
101	301	307
94	95	300
92	306	311
30	96	304
101	102	301
301	305	310
301	306	311
300	305	306
101	307	314
102	301	311
96	299	304
29	95	315
299	305	315
301	307	310
28	94	313
34	99	308
97	98	303
33	98	302
304	309	310
30	97	309
100	101	314
299	304	305
29	96	299
28	93	313
93	306	313
95	300	315
303	309	314
29	299	315
300	306	313
307	309	310
97	303	309
30	304	309
99	302	308
100	308	312
304	305	310
307	309	314
33	99	302
302	303	312
94	300	313
302	308	312
100	312	314
303	312	314
34	100	308
26	105	316
24	103	318
24	92	318
316	318	320
105	316	317
25	103	320
93	317	318
103	318	320
92	93	318
26	104	316
27	105	319
28	93	319
105	317	319
27	28	319
104	316	320
